date,year,crop,percent,week
2008-06-08,2008,CORN,66,23
2008-06-15,2008,CORN,56,24
2008-06-22,2008,CORN,49,25
2008-06-29,2008,CORN,50,26
2008-07-06,2008,CORN,53,27
2008-07-13,2008,CORN,57,28
2008-07-20,2008,CORN,58,29
2008-07-27,2008,CORN,62,30
2008-08-03,2008,CORN,59,31
2008-08-10,2008,CORN,64,32
2008-08-17,2008,CORN,66,33
2008-08-24,2008,CORN,69,34
2008-08-31,2008,CORN,65,35
2008-09-07,2008,CORN,63,36
2008-09-14,2008,CORN,61,37
2008-09-21,2008,CORN,63,38
2008-09-28,2008,CORN,61,39
2008-10-05,2008,CORN,62,40
2008-10-12,2008,CORN,61,41
2008-10-19,2008,CORN,64,42
2008-10-26,2008,CORN,62,43
2008-11-02,2008,CORN,64,44
2008-11-09,2008,CORN,65,45
2009-06-07,2009,CORN,79,23
2009-06-14,2009,CORN,81,24
2009-06-21,2009,CORN,78,25
2009-06-28,2009,CORN,81,26
2009-07-05,2009,CORN,81,27
2009-07-12,2009,CORN,82,28
2009-07-19,2009,CORN,79,29
2009-07-26,2009,CORN,80,30
2009-08-02,2009,CORN,80,31
2009-08-09,2009,CORN,78,32
2009-08-16,2009,CORN,78,33
2009-08-23,2009,CORN,77,34
2009-08-30,2009,CORN,79,35
2009-09-06,2009,CORN,76,36
2009-09-13,2009,CORN,76,37
2009-09-20,2009,CORN,75,38
2009-09-27,2009,CORN,75,39
2009-10-04,2009,CORN,75,40
2009-10-11,2009,CORN,75,41
2009-10-18,2009,CORN,76,42
2009-10-25,2009,CORN,75,43
2009-11-01,2009,CORN,76,44
2009-11-08,2009,CORN,72,45
2009-11-15,2009,CORN,74,46
2009-11-22,2009,CORN,75,47
2010-05-16,2010,CORN,55,19
2010-05-23,2010,CORN,65,20
2010-05-30,2010,CORN,74,21
2010-06-06,2010,CORN,78,22
2010-06-13,2010,CORN,76,23
2010-06-20,2010,CORN,75,24
2010-06-27,2010,CORN,72,25
2010-07-04,2010,CORN,65,26
2010-07-11,2010,CORN,71,27
2010-07-18,2010,CORN,69,28
2010-07-25,2010,CORN,70,29
2010-08-01,2010,CORN,70,30
2010-08-08,2010,CORN,70,31
2010-08-15,2010,CORN,68,32
2010-08-22,2010,CORN,67,33
2010-08-29,2010,CORN,69,34
2010-09-05,2010,CORN,69,35
2010-09-12,2010,CORN,68,36
2010-09-19,2010,CORN,68,37
2010-09-26,2010,CORN,67,38
2010-10-03,2010,CORN,67,39
2010-10-10,2010,CORN,70,40
2011-05-29,2011,CORN,80,21
2011-06-05,2011,CORN,81,22
2011-06-12,2011,CORN,84,23
2011-06-19,2011,CORN,84,24
2011-06-26,2011,CORN,80,25
2011-07-03,2011,CORN,82,26
2011-07-10,2011,CORN,82,27
2011-07-17,2011,CORN,80,28
2011-07-24,2011,CORN,80,29
2011-07-31,2011,CORN,75,30
2011-08-07,2011,CORN,73,31
2011-08-14,2011,CORN,67,32
2011-08-21,2011,CORN,63,33
2011-08-28,2011,CORN,59,34
2011-09-04,2011,CORN,55,35
2011-09-11,2011,CORN,57,36
2011-09-18,2011,CORN,55,37
2011-09-25,2011,CORN,56,38
2011-10-02,2011,CORN,58,39
2011-10-09,2011,CORN,59,40
2011-10-16,2011,CORN,61,41
2011-10-23,2011,CORN,59,42
2012-05-20,2012,CORN,81,20
2012-05-27,2012,CORN,77,21
2012-06-03,2012,CORN,75,22
2012-06-10,2012,CORN,67,23
2012-06-17,2012,CORN,67,24
2012-06-24,2012,CORN,68,25
2012-07-01,2012,CORN,62,26
2012-07-08,2012,CORN,46,27
2012-07-15,2012,CORN,36,28
2012-07-22,2012,CORN,23,29
2012-07-29,2012,CORN,20,30
2012-08-05,2012,CORN,16,31
2012-08-12,2012,CORN,16,32
2012-08-19,2012,CORN,15,33
2012-08-26,2012,CORN,15,34
2012-09-02,2012,CORN,13,35
2012-09-09,2012,CORN,16,36
2012-09-16,2012,CORN,18,37
2012-09-23,2012,CORN,18,38
2012-09-30,2012,CORN,20,39
2013-06-09,2013,CORN,57,23
2013-06-16,2013,CORN,52,24
2013-06-23,2013,CORN,50,25
2013-06-30,2013,CORN,54,26
2013-07-07,2013,CORN,57,27
2013-07-14,2013,CORN,58,28
2013-07-21,2013,CORN,57,29
2013-07-28,2013,CORN,55,30
2013-08-04,2013,CORN,53,31
2013-08-11,2013,CORN,51,32
2013-08-18,2013,CORN,49,33
2013-08-25,2013,CORN,48,34
2013-09-01,2013,CORN,44,35
2013-09-08,2013,CORN,39,36
2013-09-15,2013,CORN,35,37
2013-09-22,2013,CORN,35,38
2013-09-29,2013,CORN,37,39
2013-10-06,2013,CORN,36,40
2013-10-27,2013,CORN,45,43
2013-11-03,2013,CORN,49,44
2014-06-08,2014,CORN,82,23
2014-06-15,2014,CORN,82,24
2014-06-22,2014,CORN,83,25
2014-06-29,2014,CORN,79,26
2014-07-06,2014,CORN,79,27
2014-07-13,2014,CORN,76,28
2014-07-20,2014,CORN,76,29
2014-07-27,2014,CORN,77,30
2014-08-03,2014,CORN,78,31
2014-08-10,2014,CORN,77,32
2014-08-17,2014,CORN,76,33
2014-08-24,2014,CORN,75,34
2014-08-31,2014,CORN,75,35
2014-09-07,2014,CORN,76,36
2014-09-14,2014,CORN,76,37
2014-09-21,2014,CORN,76,38
2014-09-28,2014,CORN,76,39
2014-10-05,2014,CORN,76,40
2014-10-12,2014,CORN,76,41
2014-10-19,2014,CORN,76,42
2014-10-26,2014,CORN,77,43
2014-11-02,2014,CORN,77,44
2014-11-09,2014,CORN,76,45
2015-05-31,2015,CORN,79,22
2015-06-07,2015,CORN,80,23
2015-06-14,2015,CORN,82,24
2015-06-21,2015,CORN,84,25
2015-06-28,2015,CORN,83,26
2015-07-05,2015,CORN,83,27
2015-07-12,2015,CORN,82,28
2015-07-19,2015,CORN,82,29
2015-07-26,2015,CORN,83,30
2015-08-02,2015,CORN,83,31
2015-08-09,2015,CORN,83,32
2015-08-16,2015,CORN,83,33
2015-08-23,2015,CORN,82,34
2015-08-30,2015,CORN,82,35
2015-09-06,2015,CORN,81,36
2015-09-13,2015,CORN,79,37
2015-09-20,2015,CORN,80,38
2015-09-27,2015,CORN,79,39
2015-10-04,2015,CORN,80,40
